"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Параметризованный тест проверяет создание автомобиля с разными комбинациями марки, модели, типа двигателя и цены, а также последующее успешное удаление созданного автомобиля","760","Создание и удаление автомобиля с различными параметрами Hyundai Elantra","","2026-06-28","passed","2026-06-28","","tests.api.CarApiTest","tests.api.CarApiTest","createAndDeleteCarTest"
"Проверка переходов по основным разделам сайта","4115","checkOpeningPage(MenuOption) Проверка открытия страницы USERS_BUY_OR_SELL_CAR","","2026-06-28","passed","2026-06-28","","tests.MenuTest","tests.MenuTest","checkOpeningPage"
"Проверка создания пользователя с невалидными данными","6022","Создание пользователя с невалидными данными Создание пользователя с невалидными данными - User(id=null, firstName=Christiane, lastName=null, age=36, sex=FEMALE, money=664967.27)","","2026-06-28","passed","2026-06-28","","tests.UserTest","tests.UserTest","createInvalidUser"
"Проверка переходов по основным разделам сайта","4290","checkOpeningPage(MenuOption) Проверка открытия страницы USERS_ISSUE_LOAN","","2026-06-28","passed","2026-06-28","","tests.MenuTest","tests.MenuTest","checkOpeningPage"
"Проверка создания пользователя с невалидными данными","827","API - Создание пользователя с невалидными данными Создание пользователя с невалидными данными - UserRq(id=null, age=null, firstName=Karly, money=621505.03, secondName=Zboncak, sex=MALE)","","2026-06-28","passed","2026-06-28","","tests.api.UserApiTest","tests.api.UserApiTest","createUserWithNullFields"
"Тест проверяет создание и последующее удаление автомобиля","768","Удаление автомобиля","","2026-06-28","passed","2026-06-28","","tests.api.CarCrudTest","tests.api.CarCrudTest","deleteCarTest"
"Проверка создания пользователя с невалидными данными","6009","Создание пользователя с невалидными данными Создание пользователя с невалидными данными - User(id=null, firstName=Kelly, lastName=Kirlin, age=73, sex=null, money=153185.43)","","2026-06-28","passed","2026-06-28","","tests.UserTest","tests.UserTest","createInvalidUser"
"Проверка сообщения о некорректном вводе в поле password","3251","Ввод невалидных данных в поле 'password' Ввод невалидных данных в поле password: loremipsum","","2026-06-28","passed","2026-06-28","","tests.LoginTest","tests.LoginTest","validatePasswordInput"
"Проверка переходов по основным разделам сайта","4105","checkOpeningPage(MenuOption) Проверка открытия страницы CARS_BUY_OR_SELL_CAR","","2026-06-28","passed","2026-06-28","","tests.MenuTest","tests.MenuTest","checkOpeningPage"
"Тест проверяет создание автомобиля с дизельным двигателем (BMW X5)","769","Создание дизельного автомобиля","","2026-06-28","passed","2026-06-28","","tests.api.CarCrudTest","tests.api.CarCrudTest","createDieselCarTest"
"Проверка сообщения о некорректном вводе в поле password","3081","Ввод невалидных данных в поле 'password' Ввод невалидных данных в поле password: ok","","2026-06-28","passed","2026-06-28","","tests.LoginTest","tests.LoginTest","validatePasswordInput"
"Проверка негативной авторизации с невалидными данными","3814","Негативная авторизация с некорректными кредами Негативный логин c email: test@test.com, password: user","","2026-06-28","passed","2026-06-28","","tests.LoginTest","tests.LoginTest","negativeLoginWith"
"Проверка отмены успешной авторизации с валидными данными","3791","Негативная авторизация с корректными кредами","","2026-06-28","passed","2026-06-28","","tests.LoginTest","tests.LoginTest","negativeLogin"
"Проверка получения списка автомобилей пользователя, у пользователя  нет автомобиля","6955","Получение списка автомобилей пользователя (у пользователя нет машины)","","2026-06-28","passed","2026-06-28","","tests.UserTest","tests.UserTest","readUserWithNoCar"
"Проверка открытия страницы ALL_POST","4099","Проверка открытия страницы ALL_POST","","2026-06-28","passed","2026-06-28","","tests.MenuTest","tests.MenuTest","openAllPost"
"Проверка изменения пользователя","1639","API - Изменение пользователя","","2026-06-28","passed","2026-06-28","","tests.api.UserApiTest","tests.api.UserApiTest","changeUser"
"Проверка сортировки списка пользователей","27604","checkSortingByNumericField(String) Сортировка пользователей по полю Age","","2026-06-28","passed","2026-06-28","","tests.UserTest","tests.UserTest","checkSortingByNumericField"
"Проверка удаления пользователя, проживающего в доме","2811","Попытка удаления пользователя, проживающего в доме","","2026-06-28","passed","2026-06-28","","tests.api.UserApiTest","tests.api.UserApiTest","deleteUserLiveInHouse"
"Параметризованный тест проверяет создание автомобиля с разными комбинациями марки, модели, типа двигателя и цены, а также последующее успешное удаление созданного автомобиля","757","Создание и удаление автомобиля с различными параметрами Audi A4","","2026-06-28","passed","2026-06-28","","tests.api.CarApiTest","tests.api.CarApiTest","createAndDeleteCarTest"
"Проверка получения списка пользователей","2716","API - Получение списка пользователей","","2026-06-28","passed","2026-06-28","","tests.api.UserApiTest","tests.api.UserApiTest","getUsers"
"Проверка успешной авторизации с валидными данными","4076","Успешная авторизация с корректными кредами","","2026-06-28","passed","2026-06-28","","tests.LoginTest","tests.LoginTest","successLogin"
"Тест проверяет создание автомобиля, его получение по ID и последующее удаление","1170","Получение автомобиля по ID","","2026-06-28","passed","2026-06-28","","tests.api.CarCrudTest","tests.api.CarCrudTest","getCarTest"
"Проверка создания пользователя с невалидными данными","831","API - Создание пользователя с невалидными данными Создание пользователя с невалидными данными - UserRq(id=null, age=12, firstName=Rolland, money=null, secondName=Kuvalis, sex=FEMALE)","","2026-06-28","passed","2026-06-28","","tests.api.UserApiTest","tests.api.UserApiTest","createUserWithNullFields"
"Проверка переходов по основным разделам сайта","4099","checkOpeningPage(MenuOption) Проверка открытия страницы USERS_CREATE_NEW","","2026-06-28","passed","2026-06-28","","tests.MenuTest","tests.MenuTest","checkOpeningPage"
"Тест проверяет создание дорогого электромобиля (Tesla ModelX)","767","Создание дорогого автомобиля","","2026-06-28","passed","2026-06-28","","tests.api.CarCrudTest","tests.api.CarCrudTest","createExpensiveCarTest"
"Проверка изменения несуществующего пользователя","1609","API - Попытка изменения несуществующего пользователя","","2026-06-28","passed","2026-06-28","","tests.api.UserApiTest","tests.api.UserApiTest","changeNotExistingUserById"
"","22011","Покупка нового автомобиля","","2026-06-28","passed","2026-06-28","","tests.ui.car.CreateCarTest","tests.ui.car.CreateCarTest","buyNewCar"
"Тест проверяет создание электромобиля (Tesla Model3)","777","Создание электрического автомобиля","","2026-06-28","passed","2026-06-28","","tests.api.CarCrudTest","tests.api.CarCrudTest","createElectricCarTest"
"","11369","Создание нового автомобиля","","2026-06-28","passed","2026-06-28","","tests.ui.car.CreateCarTest","tests.ui.car.CreateCarTest","createCar"
"Проверка создания пользователя с невалидными данными","6024","Создание пользователя с невалидными данными Создание пользователя с невалидными данными - User(id=null, firstName=Deloris, lastName=Howe, age=null, sex=FEMALE, money=649906.0)","","2026-06-28","passed","2026-06-28","","tests.UserTest","tests.UserTest","createInvalidUser"
"Проверка получения имущества несуществующего пользователя","1598","Попытка получения имущества несуществующего пользователя","","2026-06-28","passed","2026-06-28","","tests.api.UserApiTest","tests.api.UserApiTest","getNotExistingUserInfo"
"Параметризованный тест проверяет обработку ошибок при создании автомобиля с некорректными данными: пустые значения, недопустимые типы двигателя, отрицательная цена, числовые значения в строковых полях","379","Создание автомобиля с невалидными данными [5] BMW, X5, Diesel, -100","","2026-06-28","passed","2026-06-28","","tests.api.CarNegativeTest","tests.api.CarNegativeTest","createInvalidCarTest"
"","481","API - Создание дома","","2026-06-28","passed","2026-06-28","","tests.api.AllPostApiTest","tests.api.AllPostApiTest","createHouse"
"Параметризованный тест проверяет обработку ошибок при создании автомобиля с некорректными данными: пустые значения, недопустимые типы двигателя, отрицательная цена, числовые значения в строковых полях","378","Создание автомобиля с невалидными данными [8] BMW, 123, Diesel, 10000","","2026-06-28","passed","2026-06-28","","tests.api.CarNegativeTest","tests.api.CarNegativeTest","createInvalidCarTest"
